,City,State,Zipcode,Latitude,Longitude,Longitude_Latitude
426,Antelope Vly,CA,93534,34.675,-118.1459,"(-118.1459, 34.675)"
441,Anza Vly,CA,92536,33.534,-116.7992,"(-116.7992, 33.534)"
449,Arden Arcade-Del Paso Manor,CA,95860,38.6106,-121.381,"(-121.381, 38.6106)"
475,Atascadero,CA,93432,35.4181,-120.4615,"(-120.4615, 35.4181)"
680,Auburn,CA,95603,38.8999,-121.0727,"(-121.0727, 38.8999)"
800,Bakersfield,CA,93285,35.7132,-118.4545,"(-118.4545, 35.7132)"
817,Banning,CA,92220,33.9306,-116.8806,"(-116.8806, 33.9306)"
822,Barstow,CA,92311,34.8939,-117.0246,"(-117.0246, 34.8939)"
853,Bear Valley,CA,95223,38.259,-120.3436,"(-120.3436, 38.259)"
1028,Big Bear Lake,CA,92386,34.2414,-116.825,"(-116.825, 34.2414)"
1112,Bishop Paiute Tribe,CA,93514,37.5054,-118.6297,"(-118.6297, 37.5054)"
1238,Brawley,CA,92273,32.7471,-115.7087,"(-115.7087, 32.7471)"
1507,C San Bernardino,CA,92316,34.0755,-117.3989,"(-117.3989, 34.0755)"
1515,C San Bernardino M,CA,92378,34.2315,-117.2246,"(-117.2246, 34.2315)"
1527,C San Bernardino-2,CA,92313,34.0338,-117.3111,"(-117.3111, 34.0338)"
1559,Calexico,CA,92232,32.6796,-115.5028,"(-115.5028, 32.6796)"
1628,Capistrano Vly,CA,92624,33.4622,-117.672,"(-117.672, 33.4622)"
1634,Carmel Valley,CA,93924,36.4779,-121.7289,"(-121.7289, 36.4779)"
1635,Carpinteria,CA,93013,34.3978,-119.52,"(-119.52, 34.3978)"
1636,Carrizo Plains,CA,93254,34.9342,-119.6159,"(-119.6159, 34.9342)"
1773,Central Coastal,CA,92677,33.5214,-117.6862,"(-117.6862, 33.5214)"
1788,Central LA CO,CA,90004,34.0756,-118.2997,"(-118.2997, 34.0756)"
2241,Central Orange,CA,90680,33.8085,-117.9953,"(-117.9953, 33.8085)"
2275,Central Orange-2,CA,92799,33.6959,-117.9109,"(-117.9109, 33.6959)"
2559,Chico,CA,95926,39.7347,-121.8548,"(-121.8548, 39.7347)"
2867,Coachella Vly,CA,92234,33.8088,-116.4656,"(-116.4656, 33.8088)"
2902,Colfax,CA,95713,39.0899,-120.9499,"(-120.9499, 39.0899)"
3148,Concord,CA,94517,37.9347,-121.9328,"(-121.9328, 37.9347)"
3227,Cool,CA,95631,38.9829,-120.8756,"(-120.8756, 38.9829)"
3650,Davenport,CA,95017,37.0207,-122.2077,"(-122.2077, 37.0207)"
3665,Davis,CA,95616,38.5467,-121.7412,"(-121.7412, 38.5467)"
3848,Death Valley National Park,CA,92328,36.4569,-116.8663,"(-116.8663, 36.4569)"
4359,E San Bernardino,CA,92318,34.0482,-117.232,"(-117.232, 34.0482)"
4368,E San Fernando Vly,CA,91201,34.1724,-118.2908,"(-118.2908, 34.1724)"
4439,E San Gabriel V-2,CA,91740,34.1113,-117.8536,"(-117.8536, 34.1113)"
4441,E San Gabriel Vly,CA,91731,34.078,-118.0508,"(-118.0508, 34.078)"
4498,East Riverside CO,CA,92239,33.7386,-115.3953,"(-115.3953, 33.7386)"
4734,El Centro,CA,92244,32.7933,-115.5717,"(-115.5717, 32.7933)"
4771,Elk Grove,CA,95758,38.4157,-121.4186,"(-121.4186, 38.4157)"
4827,Eureka,CA,95501,40.7975,-124.1669,"(-124.1669, 40.7975)"
4887,Fairfield,CA,94509,38.0017,-121.828,"(-121.828, 38.0017)"
5047,Folsom,CA,95762,38.6445,-121.0675,"(-121.0675, 38.6445)"
5049,Forest Ranch,CA,95942,39.9005,-121.6563,"(-121.6563, 39.9005)"
5257,Fort Bragg,CA,95456,39.2606,-123.726,"(-123.726, 39.2606)"
5388,Fremont,CA,94587,37.5846,-122.0176,"(-122.0176, 37.5846)"
5401,Fresno,CA,93612,36.8184,-119.71,"(-119.71, 36.8184)"
5508,Goleta,CA,93106,34.4142,-119.8461,"(-119.8461, 34.4142)"
5649,Greeley Hill,CA,95311,37.7411,-120.3321,"(-120.3321, 37.7411)"
5799,Gridley,CA,95948,39.3643,-121.6989,"(-121.6989, 39.3643)"
5919,Hanford,CA,93230,36.3309,-119.6439,"(-119.6439, 36.3309)"
5998,Healdsburg,CA,95448,38.6157,-122.8697,"(-122.8697, 38.6157)"
6002,Hemet and San Jacinto,CA,92543,33.7476,-116.9793,"(-116.9793, 33.7476)"
6039,Hesperia,CA,92344,34.4101,-117.3736,"(-117.3736, 34.4101)"
6101,Hollister,CA,95045,36.8413,-121.5347,"(-121.5347, 36.8413)"
6536,Imperial Valley,CA,92243,32.793,-115.5588,"(-115.5588, 32.793)"
7083,King City,CA,93927,36.322,-121.2457,"(-121.2457, 36.322)"
7223,La Grange,CA,95369,37.5189,-120.4389,"(-120.4389, 37.5189)"
7287,Lake Elsinore,CA,92530,33.6716,-117.3301,"(-117.3301, 33.6716)"
7529,Lassen Volcanic National Park,CA,96063,40.124,-121.6474,"(-121.6474, 40.124)"
7718,Lincoln,CA,95648,38.8909,-121.2931,"(-121.2931, 38.8909)"
7735,Livermore,CA,94566,37.6651,-121.8762,"(-121.8762, 37.6651)"
7747,Lompoc,CA,93436,34.6465,-120.4625,"(-120.4625, 34.6465)"
7773,Lone Pine Paiute-Shoshone Reservation,CA,93545,36.5656,-118.0914,"(-118.0914, 36.5656)"
8424,Madera,CA,93637,36.9566,-120.0644,"(-120.0644, 36.9566)"
8450,Mammoth Lakes,CA,93546,37.5652,-118.7452,"(-118.7452, 37.5652)"
8476,Marina and Seaside,CA,93955,36.6077,-121.8404,"(-121.8404, 36.6077)"
8486,Markleeville,CA,96120,38.7736,-119.8182,"(-119.8182, 38.7736)"
8734,Merced,CA,95340,37.3048,-120.483,"(-120.483, 37.3048)"
8847,Metro Riverside CO,CA,91752,33.9833,-117.5537,"(-117.5537, 33.9833)"
9394,Modesto,CA,95350,37.6827,-121.0302,"(-121.0302, 37.6827)"
9459,Mono Lake,CA,93541,37.9561,-119.1199,"(-119.1199, 37.9561)"
9465,Monterey Peninsula,CA,93921,36.553,-121.9228,"(-121.9228, 36.553)"
9548,Morro Bay,CA,93452,35.6147,-121.1465,"(-121.1465, 35.6147)"
9589,N Coastal Orange,CA,92708,33.71,-117.9489,"(-117.9489, 33.71)"
9611,Napa,CA,94558,38.3183,-122.2918,"(-122.2918, 38.3183)"
9821,Natomas,CA,95834,38.6318,-121.5032,"(-121.5032, 38.6318)"
10211,Niland,CA,92257,33.3535,-115.7299,"(-115.7299, 33.3535)"
10212,Nipomo,CA,93444,35.0301,-120.4854,"(-120.4854, 35.0301)"
10215,Norco and Corona,CA,92860,33.923,-117.5554,"(-117.5554, 33.923)"
10401,North Highlands,CA,95626,38.7171,-121.4121,"(-121.4121, 38.7171)"
10402,North Orange CO,CA,92885,33.892,-117.82,"(-117.82, 33.892)"
10980,NW Coastal LA,CA,90294,33.9883,-118.4698,"(-118.4698, 33.9883)"
11024,NW San Bernardino,CA,91763,34.0666,-117.7079,"(-117.7079, 34.0666)"
11035,Oakland,CA,94601,37.784,-122.2247,"(-122.2247, 37.784)"
11097,Ojai,CA,93022,34.3983,-119.3,"(-119.3, 34.3983)"
11277,Oroville,CA,95968,39.4354,-121.5459,"(-121.5459, 39.4354)"
11305,Oxnard,CA,93030,34.1983,-119.1806,"(-119.1806, 34.1983)"
11347,Paradise,CA,95969,39.7571,-121.6229,"(-121.6229, 39.7571)"
11348,Paradise Road,CA,93130,34.4403,-119.7364,"(-119.7364, 34.4403)"
11388,Paso Robles,CA,93426,35.751,-120.9878,"(-120.9878, 35.751)"
11498,Perris Vly,CA,92599,33.8385,-117.2395,"(-117.2395, 33.8385)"
11520,Phelan,CA,92371,34.4262,-117.5689,"(-117.5689, 34.4262)"
11873,Pinnacles National Monument,CA,95043,36.6581,-121.2432,"(-121.2432, 36.6581)"
11874,Piru,CA,93015,34.4012,-118.9163,"(-118.9163, 34.4012)"
12217,Placerville,CA,95667,38.7276,-120.797,"(-120.797, 38.7276)"
12223,Point Arena,CA,95497,38.7559,-123.5213,"(-123.5213, 38.7559)"
12233,Pomona Walnut Vly,CA,91711,34.1005,-117.7183,"(-117.7183, 34.1005)"
12290,Portola,CA,96122,39.8094,-120.4697,"(-120.4697, 39.8094)"
12389,Quincy,CA,95971,39.9374,-120.9443,"(-120.9443, 39.9374)"
12400,Red Hills,CA,93461,35.6556,-120.3787,"(-120.3787, 35.6556)"
12455,Redding,CA,96073,40.5605,-122.238,"(-122.238, 40.5605)"
12463,Redwood City,CA,94043,37.4103,-122.0929,"(-122.0929, 37.4103)"
12572,Rio Vista,CA,95612,38.4154,-121.5298,"(-121.5298, 38.4154)"
12670,Riverside Co. Metro,CA,92028,33.3761,-117.2527,"(-117.2527, 33.3761)"
12847,Roseville-Rocklin,CA,95746,38.7416,-121.1693,"(-121.1693, 38.7416)"
12869,S Central LA CO,CA,90280,33.949,-118.2072,"(-118.2072, 33.949)"
12884,S San Gabriel Vly,CA,90601,33.9846,-118.0372,"(-118.0372, 33.9846)"
12906,Sacramento,CA,94249,38.5793,-121.4909,"(-121.4909, 38.5793)"
12924,Saddleback Vly,CA,92862,33.8071,-117.7458,"(-117.7458, 33.8071)"
13083,Salinas,CA,93901,36.6755,-121.6549,"(-121.6549, 36.6755)"
13224,San Diego Coast,CA,92155,32.6748,-117.1615,"(-117.1615, 32.6748)"
13272,San Diego Foothills,CA,91963,32.6107,-116.6131,"(-116.6131, 32.6107)"
13276,San Diego Mesa and Inland Valley,CA,92173,32.5604,-117.0508,"(-117.0508, 32.5604)"
13314,San Francisco,CA,94044,37.6356,-122.4891,"(-122.4891, 37.6356)"
13351,San Gabriel Mts,CA,93563,34.4119,-117.77,"(-117.77, 34.4119)"
13358,San Jose,CA,94022,37.3775,-122.1144,"(-122.1144, 37.3775)"
13419,San Lorenzo Valley,CA,95005,37.085,-122.0871,"(-122.0871, 37.085)"
13421,San Luis Obispo,CA,93449,35.1392,-120.6371,"(-120.6371, 35.1392)"
13428,San Rafael,CA,94952,38.1821,-122.6678,"(-122.6678, 38.1821)"
13462,Santa Barbara,CA,93108,34.4218,-119.6443,"(-119.6443, 34.4218)"
13468,Santa Clarita Vly,CA,91350,34.4478,-118.5129,"(-118.5129, 34.4478)"
13480,Santa Cruz,CA,95010,36.9752,-121.9572,"(-121.9572, 36.9752)"
13485,Santa Maria,CA,93429,34.8533,-120.6027,"(-120.6027, 34.8533)"
13490,Santa Rosa,CA,94508,38.5757,-122.4425,"(-122.4425, 38.5757)"
13508,Santa Rosa Rancheria,CA,93245,36.3038,-119.7839,"(-119.7839, 36.3038)"
13509,Santa Ynez,CA,93460,34.6144,-120.0837,"(-120.0837, 34.6144)"
13572,Scotts Valley,CA,95066,37.0426,-122.0234,"(-122.0234, 37.0426)"
13713,Sequoia and Kings Canyon National Parks,CA,93262,36.6092,-118.752,"(-118.752, 36.6092)"
13759,Simi Valley,CA,93063,34.2679,-118.6712,"(-118.6712, 34.2679)"
13771,Sloughhouse,CA,95655,38.568,-121.2974,"(-121.2974, 38.568)"
13978,South Coastal LA,CA,90711,33.8604,-118.1437,"(-118.1437, 33.8604)"
14027,South Lake Tahoe,CA,89448,38.9877,-119.9439,"(-119.9439, 38.9877)"
14075,Southeast LA CO,CA,90040,34.0013,-118.154,"(-118.154, 34.0013)"
14593,St. Helena,CA,94574,38.5055,-122.4724,"(-122.4724, 38.5055)"
14789,Stockton,CA,95202,37.9586,-121.2888,"(-121.2888, 37.9586)"
15107,SW Coastal LA,CA,90717,33.7934,-118.3165,"(-118.3165, 33.7934)"
15158,SW San Bernardino,CA,91798,34.04,-117.5871,"(-117.5871, 34.04)"
15215,Tahoe City area,CA,96140,39.2076,-120.0974,"(-120.0974, 39.2076)"
15282,Temecula Vly,CA,92589,33.5071,-117.1233,"(-117.1233, 33.5071)"
15295,TestB,CA,94927,38.3469,-122.7059,"(-122.7059, 38.3469)"
15298,Thousand Oaks,CA,91377,34.1787,-118.7635,"(-118.7635, 34.1787)"
15475,Trona,CA,92364,35.4744,-115.5551,"(-115.5551, 35.4744)"
15490,Tuolumne City,CA,95379,37.9605,-120.2376,"(-120.2376, 37.9605)"
15491,Tuolumne County,CA,95383,38.0391,-120.229,"(-120.229, 38.0391)"
15515,Twentynine Palms,CA,92304,34.5582,-115.7416,"(-115.7416, 34.5582)"
15641,Ukiah,CA,95449,38.9711,-123.1194,"(-123.1194, 38.9711)"
15885,Vacaville,CA,95620,38.4123,-121.6938,"(-121.6938, 38.4123)"
15931,Victorville,CA,92368,34.6699,-117.3438,"(-117.3438, 34.6699)"
15945,Visalia,CA,93277,36.3193,-119.2961,"(-119.2961, 36.3193)"
15949,W San Bernardino M,CA,92397,34.3865,-117.6137,"(-117.6137, 34.3865)"
15952,W San Fernando Vly,CA,91396,34.2102,-118.5715,"(-118.5715, 34.2102)"
15995,W San Gabriel Vly,CA,91011,34.2085,-118.2021,"(-118.2021, 34.2085)"
16198,Watsonville,CA,95076,37.0504,-121.7599,"(-121.7599, 37.0504)"
16211,Weaverville,CA,96093,40.7327,-122.9413,"(-122.9413, 40.7327)"
16539,Western Nevada County,CA,95959,39.2621,-121.0187,"(-121.0187, 39.2621)"
16721,Westmorland,CA,92281,33.0515,-115.5786,"(-115.5786, 33.0515)"
16800,Willits,CA,95587,39.9817,-123.8022,"(-123.8022, 39.9817)"
16808,Willow Creek ,CA,95573,40.9407,-123.6276,"(-123.6276, 40.9407)"
16809,Willows,CA,95943,39.6232,-122.0126,"(-122.0126, 39.6232)"
16873,Windsor,CA,95492,38.5458,-122.8002,"(-122.8002, 38.5458)"
16875,Woodland,CA,95627,38.6942,-122.0215,"(-122.0215, 38.6942)"
16947,Yankee Hill,CA,95965,39.5082,-121.5619,"(-121.5619, 39.5082)"
16969,Yosemite National Park,CA,95389,37.6497,-119.7191,"(-119.7191, 37.6497)"
17019,Yreka,CA,96097,41.7294,-122.6416,"(-122.6416, 41.7294)"
17023,Yuba City and Marysville,CA,95991,39.1375,-121.6203,"(-121.6203, 39.1375)"
17043,Yucca Vly,CA,92256,34.0471,-116.5873,"(-116.5873, 34.0471)"
